old_url,source_domain,url_type,source_h1,decision,target_path,reason,reviewer,approved_at
https://makler-realty.com/en/%d0%be%d1%84%d0%be%d1%80%d0%bc%d0%bb%d0%b5%d0%bd%d0%b8%d0%b5-%d1%81%d0%b4%d0%b5%d0%bb%d0%ba%d0%b8-%d0%bd%d0%b5%d0%b4%d0%b2%d0%b8%d0%b6%d0%b8%d0%bc%d0%be%d1%81%d1%82%d1%8c-%d0%b1%d0%be%d0%bb%d0%b3/,makler-realty.com,page,How to buy,410,,no localized route for this URL,,
https://makler-realty.com/en/%d0%be-%d0%ba%d0%be%d0%bc%d0%bf%d0%b0%d0%bd%d0%b8%d0%b8/,makler-realty.com,page,Real estate agency in Sandanski Bulgaria,410,,no localized route for this URL,,
https://makler-realty.com/en/%d0%bf%d0%b0%d1%80%d1%82%d0%bd%d1%8c%d0%be%d1%80%d0%b8/,makler-realty.com,page,Partners,410,,no localized route for this URL,,
https://makler-realty.com/en/%d1%82%d0%b0%d0%ba%d1%81%d0%b8-%d0%b8%d0%b7-%d1%81%d0%be%d1%84%d0%b8%d0%b8-%d0%b2-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd%d1%81%d0%ba%d0%b8/,makler-realty.com,page,,410,,no localized route for this URL,,
https://makler-realty.com/en/%d1%82%d1%80%d0%b0%d0%bd%d1%81%d1%84%d0%b5%d1%80-%d1%81%d0%b0%d0%bb%d0%be%d0%bd%d0%b8%d0%ba%d0%b8-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd%d1%81%d0%ba%d0%b8/,makler-realty.com,page,,410,,no localized route for this URL,,
https://makler-realty.com/en/category-type/%d0%b5lite-realtor/,makler-realty.com,taxonomy,Elite realty,410,,no canonical family for category-type/еlite-realtor,,
https://makler-realty.com/en/category-type/%d1%81%d0%b5%d0%bb%d1%8c%d1%81%d0%ba%d0%be%d1%85%d0%be%d0%b7%d1%8f%d0%b9%d1%81%d1%82%d0%b2%d0%b5%d0%bd%d0%bd%d0%b0%d1%8f-%d0%b7%d0%b5%d0%bc%d0%bb%d1%8f/,makler-realty.com,taxonomy,Agricultural lands,301,/en/search?property_family=agricultural_land,property type archive,,
https://makler-realty.com/en/category-type/%d1%83%d1%87%d0%b0%d1%81%d1%82%d0%be%d0%ba-%d0%b7%d0%b5%d0%bc%d0%bb%d0%b8/,makler-realty.com,taxonomy,Plot of land,301,/en/search?property_family=plot,property type archive,,
https://makler-realty.com/en/category-type/apartment/,makler-realty.com,taxonomy,Apartments,301,/en/search?property_family=apartment,property type archive,,
https://makler-realty.com/en/category-type/commercial-area/,makler-realty.com,taxonomy,Commercial area,301,/en/search?property_family=commercial,property type archive,,
